word,freq
billion dollar,21
osama bin,66
russian tv,11
sexual assault,21
israel lobby,11
gaza strip,62
south american,13
outside world,15
four days,18
new era,14
since 2001,11
dead sea,13
syrian refugees,27
israeli palestinian,11
suu kyi,32
korea says,26
zika virus,28
international criminal,25
adolf hitler,18
said today,11
panama papers,51
deep sea,11
war ii,46
saddam hussein,31
stock market,20
armenian genocide,32
venezuelan president,14
muslim women,19
first female,28
state solution,20
intelligence service,16
new eu,11
security officials,13
high court,75
palestinian homes,12
14 year,47
american countries,11
indian supreme,11
says report,17
first place,11
president erdogan,14
iran president,12
go ahead,23
cease fire,21
japanese government,18
11 attacks,12
says un,30
russian invasion,12
police officer,69
xi jinping,23
pm says,28
reports say,14
solar system,18
hugo chvez,13
world war,105
open letter,23
putin says,32
general election,16
insulting islam,17
police officers,79
nearly 50,11
bashar al,40
law firm,16
chinese state,12
pope says,13
man made,14
tens thousands,89
magnitude quake,19
highest level,13
stock exchange,12
since 2000,12
nick clegg,15
british soldiers,14
border guards,12
prison camps,13
big picture,22
david cameron,131
government announced,12
time history,12
presidential election,33
us israel,17
israel iran,12
death sentence,30
hits new,11
15 000,27
robert mugabe,22
german government,30
israeli warplanes,11
chinese police,26
heat wave,12
pregnant woman,16
public opinion,12
iran supreme,15
per day,26
income tax,11
us ambassador,19
fight islamic,20
justin trudeau,15
soldiers killed,30
modern day,11
men arrested,18
great barrier,56
intellectual property,17
rob ford,18
10 times,12
killed gaza,13
nuclear watchdog,11
head state,13
al qaida,61
phone call,18
press conference,14
end war,13
21st century,14
israeli officials,11
military aircraft,11
video footage,16
us officials,21
peace treaty,12
daily show,11
nuclear talks,11
says may,13
dies aged,13
aid worker,11
warns us,17
egypt military,14
sexual abuse,58
become first,36
suicide bomber,62
left behind,16
war syria,13
arab world,26
face criminal,13
arab emirates,16
nuclear program,30
daiichi nuclear,13
german court,18
gas emissions,19
english channel,12
news us,12
since last,11
us dollar,13
west african,11
armed forces,29
alan turing,12
iranian president,20
mexican army,11
tahrir square,45
israel palestine,16
bill gates,27
time ever,15
phone calls,24
second world,14
jail time,11
member parliament,12
edward snowden,176
young woman,18
boycott israel,12
cross border,13
ian tomlinson,13
child marriage,11
police say,28
islamist militants,14
million worth,14
al qaeda,165
rubber bullets,14
us china,15
hosni mubarak,33
interest rates,22
us border,11
tells us,11
17 years,11
pregnant women,14
mass surveillance,41
washington post,25
three times,16
ordered pay,22
man killed,12
killed drone,11
old boy,38
go back,11
drug use,17
ukraine says,17
six months,49
around world,107
government corruption,13
state run,30
minister david,19
african union,11
israeli soldiers,53
power co,13
dr congo,14
china state,15
90 000,14
says israel,28
nsa spied,11
bomb attack,21
african country,11
leader kim,23
iran says,30
international airport,12
afghan children,11
political party,17
government said,22
canadian pm,11
15 years,41
says russia,37
cruise ship,14
rich poor,14
billion year,15
irish government,15
us led,28
john key,14
palestinian land,11
settler homes,12
president bashar,42
dont want,11
child pornography,30
nuclear crisis,13
gay marriage,68
russia bans,12
wind turbines,12
largest economy,11
least 18,11
military service,13
new study,47
benedict xvi,18
real time,11
us uk,28
sexual harassment,15
eastern ukraine,48
new report,51
two people,18
public health,29
police arrest,36
liu xiaobo,12
border crossing,18
robert fisk,14
saudi king,22
russian soldiers,20
palestinian state,50
old daughter,20
anti islam,26
three days,28
russian troops,24
hunger strike,39
anti government,39
hamas official,13
third world,18
chinese authorities,18
air raid,15
insulting president,13
burned alive,13
news agency,33
israeli forces,17
study says,18
world richest,20
lawyer says,11
obama said,14
eu us,15
30 years,62
court canada,12
19 year,15
cia agents,11
food crisis,17
10 year,27
afghan president,17
shot dead,121
uk parliament,12
recent years,17
18 months,13
north korea,769
japan tsunami,11
jewish state,17
korea launches,12
per year,18
charlie hebdo,47
behring breivik,17
found dead,80
government plans,14
air force,60
women rights,19
nuclear waste,11
mein kampf,16
magnitude earthquake,49
world leaders,30
gordon brown,34
political crisis,11
dead bodies,12
real world,11
half century,11
sharia law,28
use force,30
accuses us,11
south ossetia,33
new security,12
secret service,22
world wide,14
israel israel,12
thousands protesters,20
nine years,11
ebola virus,13
egyptian army,13
press freedom,22
oil spill,74
police beat,13
humanitarian aid,27
one child,14
almost half,17
palestinian statehood,11
rocket fire,11
across globe,11
government official,12
thousands protest,24
jewish settlers,28
rights abuses,36
party leader,13
member states,19
single day,13
crimes humanity,41
leave country,18
syria rebels,14
oil prices,30
natural resources,17
palestinian authority,26
last night,20
indian state,14
australia new,12
hit record,12
international space,22
50 million,23
anti israel,14
anti terrorism,21
rio de,18
terror suspects,15
last month,55
says government,11
foreign policy,30
british prime,21
000 year,52
home secretary,15
calls end,13
since 2004,11
israeli government,34
cairo tahrir,11
young men,25
right forgotten,16
g20 protests,15
top court,27
senior official,12
go strike,11
ebola outbreak,22
human beings,14
25 years,22
fidel castro,21
drone attacks,16
middle class,27
tayyip erdogan,22
woman arrested,11
female genital,37
along border,12
iranian police,11
law banning,15
dalai lama,59
african republic,21
tony blair,87
years later,28
jail term,16
iraqi army,14
test fires,12
mossad chief,13
secretary general,26
deutsche bank,12
least 10,18
gang rape,40
opposition leader,38
000 square,13
political parties,13
terrorist attacks,22
last two,12
illegal ivory,11
could used,11
world peace,12
assad regime,11
earthquake strikes,18
israel attack,12
